sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SoffiXsponR570.02Eg110200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,107.741039721162,391.926927717677,249.83398371942,-1.86512952296969,0.214852896368712,-8.68096057578349,2.82929936503535e-05,0.0327832649504376
SoffiXsponR570.09Cg136900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1544.45911130527,5713.38639577813,3628.9227535417,-1.88760283337953,0.219420572741975,-8.60267025006466,2.61378473141419e-05,0.0320051717064688
SoffiXsponR570.03Dg155400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,144.614129835187,537.34632964568,340.980229740434,-1.89472351594555,0.231202880640289,-8.1950688101218,5.44482235770376e-05,0.049125670914384
SoffiXsponR570.01Bg103100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,134.137509887467,499.376555098554,316.75703249301,-1.90006727217249,0.22474982674101,-8.45414343461109,3.1041315877568e-05,0.0343310278054101
SoffiXsponR570.5_9Ag497200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,3351.46569809596,12687.2616203492,8019.3636592226,-1.92046292020701,0.219515029035163,-8.74866257972424,1.37544093900645e-05,0.0206652675213439
SoffiXsponR570.6_9Ag279900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,572.422580074008,2172.38801193738,1372.40529600569,-1.92504678555329,0.207614537435769,-9.27221575776622,4.182995831964e-06,0.00847714871843988
SoffiXsponR570.03Fg010800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1815.07209763674,6901.73192946559,4358.40201355116,-1.92717225448314,0.193598453404271,-9.95448166343994,8.37441485623689e-07,0.002266733722245
SoffiXsponR570.06Cg143500.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,474.476649362771,1857.20927981262,1165.84296458769,-1.96963268010179,0.22908861145763,-8.59768919794632,1.1552001301901e-05,0.0182798868601281
SoffiXsponR570.05Gg022700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,188.596319342087,749.188036848531,468.892178095309,-1.98736107176545,0.254807840159146,-7.79945024660227,5.33289424082758e-05,0.0485416079676603
SoffiXsponR570.02Bg084800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,310.34732655948,1272.38467481906,791.366000689271,-2.03615215286551,0.262845432768537,-7.74657612049342,4.03925810905999e-05,0.0411348447589578
SoffiXsponR570.02Cg040800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,340.658507497373,1408.05639369176,874.357450594564,-2.04889421931828,0.255835674861129,-8.00863374676126,2.06686912702539e-05,0.0271323677967294
SoffiXsponR570.04Ag103400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,95.8110754378527,404.3155088326,250.063292135226,-2.07534725087026,0.24140377605455,-8.59699580838907,4.20329960955543e-06,0.00847714871843988
SoffiXsponR570.06Eg070700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,791.086773339096,3372.23537646017,2081.66107489963,-2.0915468385702,0.248963679587949,-8.40101191479755,5.81631599633292e-06,0.0108771454203422
SoffiXsponR570.05Fg112300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,570.528298764717,2446.28384923969,1508.4060740022,-2.09996369698538,0.20293025081533,-10.3482043142813,2.97324510337927e-08,0.000160955841238515
SoffiXsponR570.03Bg011100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,435.079104315206,1865.12294247199,1150.1010233936,-2.10043019052114,0.223878203194304,-9.38202183397983,4.43216277914293e-07,0.00142460792128601
